loops.thisTrialN,loops.stepSize,loops.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,loops.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,14.763090099906549,15.279691099887714,15.279691099887714,15.279691099887714,15.581388500053436,right,10.0,1,1,1.909108200110495,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
1,2,8.0,17.214493999956176,17.714726199861616,17.714726199861616,17.714726199861616,18.014632700011134,right,8.0,1,1,0.6755419000983238,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
2,2,6.0,18.413979399949312,18.91453339997679,18.91453339997679,18.91453339997679,19.214645999949425,left,-6.0,1,1,0.6426496000494808,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
3,2,4.0,19.58082799986005,20.08102499996312,20.08102499996312,20.08102499996312,20.38142289989628,right,4.0,1,1,0.6513799999374896,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
4,2,2.0,20.764522099867463,21.264295399887487,21.24740289989859,21.24740289989859,21.54792709997855,right,2.0,1,1,0.6796854001004249,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
5,2,0.0,21.947912100004032,22.44795270008035,22.431304099969566,22.431304099969566,22.73123879986815,right,0.0,1,1,0.6586851999163628,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
6,1,0.0,23.11382079985924,23.614755999995396,23.597913099918514,23.597913099918514,23.8978387999814,right,0.0,0,0,1.526797599857673,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
7,1,1.0,25.147209600079805,25.647450200049207,25.647450200049207,25.647450200049207,25.947514300001785,left,-1.0,1,1,0.832971400115639,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
8,1,1.0,26.497358199907467,26.997579799965024,26.997579799965024,26.997579799965024,27.29769410006702,right,1.0,1,1,0.5769718000665307,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
9,1,1.0,27.597372699994594,28.097236200002953,28.097236200002953,28.097236200002953,28.397558100055903,left,-1.0,0,0,1.294771800050512,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
10,1,2.0,29.413672300055623,29.914259299868718,29.914259299868718,29.914259299868718,30.213945399969816,left,-2.0,1,1,0.6764744999818504,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
11,1,2.0,30.613312900066376,31.11381409992464,31.11381409992464,31.11381409992464,31.41372160008177,right,2.0,1,1,0.7230708000715822,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
12,1,2.0,31.863039700081572,32.36398519994691,32.36398519994691,32.36398519994691,32.66397330001928,left,-2.0,1,1,0.9132261001504958,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
13,0.5,1.0,33.29672440001741,33.79719200008549,33.79719200008549,33.79719200008549,34.09707439993508,left,-1.0,0,0,1.2781378000508994,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
14,0.5,1.5,35.0967621000018,35.59707919997163,35.59707919997163,35.59707919997163,35.897043499862775,left,-1.5,1,1,1.04931930010207,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
15,0.5,1.5,36.663557099876925,37.1636721000541,37.1636721000541,37.1636721000541,37.46332950005308,left,-1.5,1,1,0.5938949999399483,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
16,0.5,1.5,37.77943470003083,38.27996680000797,38.27996680000797,38.27996680000797,38.58016459993087,right,1.5,1,1,1.061912399949506,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
17,0.5,1.0,39.363087699981406,39.86321370000951,39.86321370000951,39.86321370000951,40.16349389986135,right,1.0,1,1,0.8826457001268864,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
18,0.5,1.0,40.76337129995227,41.26278500002809,41.26278500002809,41.26278500002809,41.56221850006841,right,1.0,1,1,0.7183193999808282,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
