12.0505 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001AA953BDCA0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001AA953BDC40>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001AA953BD970>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001AA9BEE3DC0>, multiSample=False, name='window1', numSamples=2, pos=(260, 190), screen=0, size=array([1400,  700]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.0507 	EXP 	window1: mouseVisible = True
12.0507 	EXP 	window1: backgroundImage = ''
12.0508 	EXP 	window1: backgroundFit = 'none'
12.0508 	EXP 	window1: mouseVisible = True
12.0508 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
12.0509 	EXP 	window1: recordFrameIntervals = False
12.2165 	EXP 	window1: recordFrameIntervals = True
12.3999 	EXP 	Screen (0) actual frame rate measured at 60.02Hz
12.4000 	EXP 	window1: recordFrameIntervals = False
12.5627 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
14.7408 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
14.7496 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
14.7496 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
14.7631 	EXP 	grating: ori = 10.0
14.7631 	EXP 	fixation: autoDraw = True
15.2797 	EXP 	fixation: autoDraw = False
15.2797 	EXP 	grating: autoDraw = True
15.2797 	EXP 	grating: tex = 'sin'
15.5814 	EXP 	grating: autoDraw = False
17.2014 	DATA 	Keypress: right
17.2145 	EXP 	fixation: autoDraw = False
17.2145 	EXP 	grating: autoDraw = False
17.2145 	EXP 	grating: ori = 8.0
17.2145 	EXP 	fixation: autoDraw = True
17.7147 	EXP 	fixation: autoDraw = False
17.7147 	EXP 	grating: autoDraw = True
18.0146 	EXP 	grating: autoDraw = False
18.4007 	DATA 	Keypress: right
18.4140 	EXP 	fixation: autoDraw = False
18.4140 	EXP 	grating: autoDraw = False
18.4140 	EXP 	grating: ori = -6.0
18.4140 	EXP 	fixation: autoDraw = True
18.9145 	EXP 	fixation: autoDraw = False
18.9145 	EXP 	grating: autoDraw = True
19.2146 	EXP 	grating: autoDraw = False
19.5675 	DATA 	Keypress: left
19.5808 	EXP 	fixation: autoDraw = False
19.5808 	EXP 	grating: autoDraw = False
19.5808 	EXP 	grating: ori = 4.0
19.5808 	EXP 	fixation: autoDraw = True
20.0810 	EXP 	fixation: autoDraw = False
20.0810 	EXP 	grating: autoDraw = True
20.3814 	EXP 	grating: autoDraw = False
20.7503 	DATA 	Keypress: right
20.7645 	EXP 	fixation: autoDraw = False
20.7645 	EXP 	grating: autoDraw = False
20.7645 	EXP 	grating: ori = 2.0
20.7645 	EXP 	fixation: autoDraw = True
21.2474 	EXP 	grating: autoDraw = True
21.2643 	EXP 	fixation: autoDraw = False
21.5479 	EXP 	grating: autoDraw = False
21.9343 	DATA 	Keypress: right
21.9479 	EXP 	fixation: autoDraw = False
21.9479 	EXP 	grating: autoDraw = False
21.9479 	EXP 	grating: ori = 0.0
21.9479 	EXP 	fixation: autoDraw = True
22.4313 	EXP 	grating: autoDraw = True
22.4480 	EXP 	fixation: autoDraw = False
22.7312 	EXP 	grating: autoDraw = False
23.1000 	DATA 	Keypress: right
23.1138 	EXP 	fixation: autoDraw = False
23.1138 	EXP 	grating: autoDraw = False
23.1138 	EXP 	grating: ori = 0.0
23.1138 	EXP 	fixation: autoDraw = True
23.5979 	EXP 	grating: autoDraw = True
23.6148 	EXP 	fixation: autoDraw = False
23.8978 	EXP 	grating: autoDraw = False
25.1340 	DATA 	Keypress: left
25.1472 	EXP 	fixation: autoDraw = False
25.1472 	EXP 	grating: autoDraw = False
25.1472 	EXP 	grating: ori = -1.0
25.1472 	EXP 	fixation: autoDraw = True
25.6475 	EXP 	fixation: autoDraw = False
25.6475 	EXP 	grating: autoDraw = True
25.9475 	EXP 	grating: autoDraw = False
26.4839 	DATA 	Keypress: left
26.4974 	EXP 	fixation: autoDraw = False
26.4974 	EXP 	grating: autoDraw = False
26.4974 	EXP 	grating: ori = 1.0
26.4974 	EXP 	fixation: autoDraw = True
26.9976 	EXP 	fixation: autoDraw = False
26.9976 	EXP 	grating: autoDraw = True
27.2977 	EXP 	grating: autoDraw = False
27.5844 	DATA 	Keypress: right
27.5974 	EXP 	fixation: autoDraw = False
27.5974 	EXP 	grating: autoDraw = False
27.5974 	EXP 	grating: ori = -1.0
27.5974 	EXP 	fixation: autoDraw = True
28.0972 	EXP 	fixation: autoDraw = False
28.0972 	EXP 	grating: autoDraw = True
28.3976 	EXP 	grating: autoDraw = False
29.4005 	DATA 	Keypress: right
29.4137 	EXP 	fixation: autoDraw = False
29.4137 	EXP 	grating: autoDraw = False
29.4137 	EXP 	grating: ori = -2.0
29.4137 	EXP 	fixation: autoDraw = True
29.9143 	EXP 	fixation: autoDraw = False
29.9143 	EXP 	grating: autoDraw = True
30.2139 	EXP 	grating: autoDraw = False
30.6003 	DATA 	Keypress: left
30.6133 	EXP 	fixation: autoDraw = False
30.6133 	EXP 	grating: autoDraw = False
30.6133 	EXP 	grating: ori = 2.0
30.6133 	EXP 	fixation: autoDraw = True
31.1138 	EXP 	fixation: autoDraw = False
31.1138 	EXP 	grating: autoDraw = True
31.4137 	EXP 	grating: autoDraw = False
31.8505 	DATA 	Keypress: right
31.8630 	EXP 	fixation: autoDraw = False
31.8630 	EXP 	grating: autoDraw = False
31.8630 	EXP 	grating: ori = -2.0
31.8630 	EXP 	fixation: autoDraw = True
32.3640 	EXP 	fixation: autoDraw = False
32.3640 	EXP 	grating: autoDraw = True
32.6640 	EXP 	grating: autoDraw = False
33.2839 	DATA 	Keypress: left
33.2967 	EXP 	fixation: autoDraw = False
33.2967 	EXP 	grating: autoDraw = False
33.2967 	EXP 	grating: ori = -1.0
33.2967 	EXP 	fixation: autoDraw = True
33.7972 	EXP 	fixation: autoDraw = False
33.7972 	EXP 	grating: autoDraw = True
34.0971 	EXP 	grating: autoDraw = False
35.0837 	DATA 	Keypress: right
35.0968 	EXP 	fixation: autoDraw = False
35.0968 	EXP 	grating: autoDraw = False
35.0968 	EXP 	grating: ori = -1.5
35.0968 	EXP 	fixation: autoDraw = True
35.5971 	EXP 	fixation: autoDraw = False
35.5971 	EXP 	grating: autoDraw = True
35.8970 	EXP 	grating: autoDraw = False
36.6505 	DATA 	Keypress: left
36.6636 	EXP 	fixation: autoDraw = False
36.6636 	EXP 	grating: autoDraw = False
36.6636 	EXP 	grating: ori = -1.5
36.6636 	EXP 	fixation: autoDraw = True
37.1637 	EXP 	fixation: autoDraw = False
37.1637 	EXP 	grating: autoDraw = True
37.4633 	EXP 	grating: autoDraw = False
37.7670 	DATA 	Keypress: left
37.7794 	EXP 	fixation: autoDraw = False
37.7794 	EXP 	grating: autoDraw = False
37.7794 	EXP 	grating: ori = 1.5
37.7794 	EXP 	fixation: autoDraw = True
38.2800 	EXP 	fixation: autoDraw = False
38.2800 	EXP 	grating: autoDraw = True
38.5802 	EXP 	grating: autoDraw = False
39.3499 	DATA 	Keypress: right
39.3631 	EXP 	fixation: autoDraw = False
39.3631 	EXP 	grating: autoDraw = False
39.3631 	EXP 	grating: ori = 1.0
39.3631 	EXP 	fixation: autoDraw = True
39.8632 	EXP 	fixation: autoDraw = False
39.8632 	EXP 	grating: autoDraw = True
40.1635 	EXP 	grating: autoDraw = False
40.7495 	DATA 	Keypress: right
40.7634 	EXP 	fixation: autoDraw = False
40.7634 	EXP 	grating: autoDraw = False
40.7634 	EXP 	grating: ori = 1.0
40.7634 	EXP 	fixation: autoDraw = True
41.2628 	EXP 	fixation: autoDraw = False
41.2628 	EXP 	grating: autoDraw = True
41.5622 	EXP 	grating: autoDraw = False
41.9996 	DATA 	Keypress: right
42.0128 	EXP 	fixation: autoDraw = False
42.0128 	EXP 	grating: autoDraw = False
42.0128 	EXP 	grating: ori = -1.0
42.0128 	EXP 	fixation: autoDraw = True
42.5135 	EXP 	fixation: autoDraw = False
42.5135 	EXP 	grating: autoDraw = True
42.8132 	EXP 	grating: autoDraw = False
43.6663 	DATA 	Keypress: right
43.6792 	EXP 	fixation: autoDraw = False
43.6792 	EXP 	grating: autoDraw = False
43.6792 	EXP 	grating: ori = 1.5
43.6792 	EXP 	fixation: autoDraw = True
